backend,device,time,size
warp,cpu,0.06806655699983821,262144
warp,cpu,0.06868858499910857,262144
warp,cpu,0.06868036600099003,262144
warp,cpu,0.06886030699934054,262144
torch,cpu,0.07453643799999554,262144
torch,cpu,0.07443483699898934,262144
torch,cpu,0.05903015500007314,262144
torch,cpu,0.07620437900004617,262144
torch,cpu,0.07458913899972686,262144
torch,cpu,0.057261982999989414,262144
torch,cpu,0.07533870800034492,262144
torch,cpu,0.08115560099940922,262144
torch,cpu,0.06478994700046314,262144
jax,cpu,0.003228740000849939,262144
jax,cpu,0.0031708400001662085,262144
jax,cpu,0.003616005000367295,262144
jax,cpu,0.002740453999649617,262144
jax,cpu,0.0033896320001076674,262144
jax,cpu,0.0037103859995113453,262144
jax,cpu,0.0036595259989553597,262144
jax,cpu,0.0032075700000859797,262144
jax,cpu,0.0029144660002202727,262144
numba,cuda,0.0005372169998736354,4
numba,cuda,0.0004042649998154957,4
numba,cuda,0.0003678049997688504,4
numba,cuda,0.00036471400017035194,4
numba,cuda,0.00038320500061672647,4
numba,cuda,0.0003576849994715303,4
numba,cuda,0.00035927400131186005,4
numba,cuda,0.0003839049986709142,4
numba,cuda,0.0003546640000422485,4
taichi,cuda,0.000403014999392326,4
taichi,cuda,0.00018892200023401529,4
taichi,cuda,0.0001845719998527784,4
taichi,cuda,0.00018056200133287348,4
taichi,cuda,0.0001833019996411167,4
taichi,cuda,0.00018917299894383177,4
taichi,cuda,0.00017746199955581687,4
taichi,cuda,0.00017692199980956502,4
taichi,cuda,0.00017593200027476996,4
warp,cuda,0.0003050439991056919,4
warp,cuda,0.00017284199930145405,4
warp,cuda,0.00024855400079104584,4
warp,cuda,0.0001740320003591478,4
warp,cuda,0.00016466200031572953,4
warp,cuda,0.00015998199887690134,4
warp,cuda,0.00016117199993459508,4
warp,cuda,0.00016399199921579566,4
warp,cuda,0.00016055200103437528,4
torch,cuda,0.019231930000387365,4
torch,cuda,0.0193175100012013,4
torch,cuda,0.019547264000721043,4
torch,cuda,0.019059796999499667,4
torch,cuda,0.020532955999442493,4
torch,cuda,0.02133819599839626,4
torch,cuda,0.02133308599877637,4
torch,cuda,0.020191780999084585,4
torch,cuda,0.019745256000533118,4
jax,cuda,0.0004849760007346049,4
jax,cuda,0.0003822550006589154,4
jax,cuda,0.0003636540004663402,4
jax,cuda,0.0003614249999372987,4
jax,cuda,0.0003748950002773199,4
jax,cuda,0.0003538740002113627,4
jax,cuda,0.0004090450001967838,4
jax,cuda,0.0009783519999473356,4
jax,cuda,0.0003820649999397574,4
numba,cuda,0.0005448360006994335,16
numba,cuda,0.0004105950010853121,16
numba,cuda,0.00039281499994103797,16
numba,cuda,0.0004036549999000272,16
numba,cuda,0.0003854949991364265,16
numba,cuda,0.00038859399865032174,16
numba,cuda,0.0003914539993274957,16
numba,cuda,0.00038559399945370387,16
numba,cuda,0.00039038499926391523,16
taichi,cuda,0.00020531300106085837,16
taichi,cuda,0.00020925200078636408,16
taichi,cuda,0.00019447300110186916,16
